2789 321 481
250 143 3 0
248 144 3 0
249 144 3 0
250 144 3 0
251 144 3 0
252 144 3 0
248 145 3 0
249 145 3 0
250 145 3 0
251 145 3 0
252 145 3 0
247 146 3 0
248 146 3 0
249 146 3 0
250 146 3 0
251 146 3 0
252 146 3 0
253 146 3 0
247 147 3 0
248 147 3 0
249 147 3 0
250 147 3 0
251 147 3 0
252 147 3 0
253 147 3 0
247 148 3 0
248 148 3 0
249 148 3 0
250 148 3 0
251 148 3 0
252 148 3 0
253 148 3 0
247 149 3 0
248 149 3 0
249 149 3 0
250 149 3 0
251 149 3 0
252 149 3 0
253 149 3 0
247 150 3 0
248 150 3 0
249 150 3 0
250 150 3 0
251 150 3 0
252 150 3 0
253 150 3 0
247 151 3 0
248 151 3 0
249 151 3 0
250 151 3 0
251 151 3 0
252 151 3 0
253 151 3 0
247 152 3 0
248 152 3 0
249 152 3 0
250 152 3 0
251 152 3 0
252 152 3 0
253 152 3 0
247 153 3 0
248 153 3 0
249 153 3 0
250 153 3 0
251 153 3 0
252 153 3 0
253 153 3 0
247 154 3 0
248 154 3 0
249 154 3 0
250 154 3 0
251 154 3 0
252 154 3 0
253 154 3 0
247 155 3 0
248 155 3 0
249 155 3 0
250 155 3 0
251 155 3 0
252 155 3 0
253 155 3 0
247 156 3 0
248 156 3 0
249 156 3 0
250 156 3 0
251 156 3 0
252 156 3 0
253 156 3 0
247 157 3 0
248 157 3 0
249 157 3 0
250 157 3 0
251 157 3 0
252 157 3 0
253 157 3 0
247 158 3 0
248 158 3 0
249 158 3 0
250 158 3 0
251 158 3 0
252 158 3 0
253 158 3 0
247 159 3 0
248 159 3 0
249 159 3 0
250 159 3 0
251 159 3 0
252 159 3 0
253 159 3 0
247 160 3 0
248 160 3 0
249 160 3 0
250 160 3 0
251 160 3 0
252 160 3 0
253 160 3 0
247 161 3 0
248 161 3 0
249 161 3 0
250 161 3 0
251 161 3 0
252 161 3 0
253 161 3 0
247 162 3 0
248 162 3 0
249 162 3 0
250 162 3 0
251 162 3 0
252 162 3 0
253 162 3 0
247 163 3 0
248 163 3 0
249 163 3 0
250 163 3 0
251 163 3 0
252 163 3 0
253 163 3 0
247 164 3 0
248 164 3 0
249 164 3 0
250 164 3 0
251 164 3 0
252 164 3 0
253 164 3 0
247 165 3 0
248 165 3 0
249 165 3 0
250 165 3 0
251 165 3 0
252 165 3 0
253 165 3 0
247 166 3 0
248 166 3 0
249 166 3 0
250 166 3 0
251 166 3 0
252 166 3 0
253 166 3 0
247 167 3 0
248 167 3 0
249 167 3 0
250 167 3 0
251 167 3 0
252 167 3 0
253 167 3 0
247 168 3 0
248 168 3 0
249 168 3 0
250 168 3 0
251 168 3 0
252 168 3 0
253 168 3 0
247 169 3 0
248 169 3 0
249 169 3 0
250 169 3 0
251 169 3 0
252 169 3 0
253 169 3 0
247 170 3 0
248 170 3 0
249 170 3 0
250 170 3 0
251 170 3 0
252 170 3 0
253 170 3 0
247 171 3 0
248 171 3 0
249 171 3 0
250 171 3 0
251 171 3 0
252 171 3 0
253 171 3 0
247 172 3 0
248 172 3 0
249 172 3 0
250 172 3 0
251 172 3 0
252 172 3 0
253 172 3 0
247 173 3 0
248 173 3 0
249 173 3 0
250 173 3 0
251 173 3 0
252 173 3 0
253 173 3 0
247 174 3 0
248 174 3 0
249 174 3 0
250 174 3 0
251 174 3 0
252 174 3 0
253 174 3 0
247 175 3 0
248 175 3 0
249 175 3 0
250 175 3 0
251 175 3 0
252 175 3 0
253 175 3 0
247 176 3 0
248 176 3 0
249 176 3 0
250 176 3 0
251 176 3 0
252 176 3 0
253 176 3 0
247 177 3 0
248 177 3 0
249 177 3 0
250 177 3 0
251 177 3 0
252 177 3 0
253 177 3 0
247 178 3 0
248 178 3 0
249 178 3 0
250 178 3 0
251 178 3 0
252 178 3 0
253 178 3 0
247 179 3 0
248 179 3 0
249 179 3 0
250 179 3 0
251 179 3 0
252 179 3 0
253 179 3 0
247 180 3 0
248 180 3 0
249 180 3 0
250 180 3 0
251 180 3 0
252 180 3 0
253 180 3 0
247 181 3 0
248 181 3 0
249 181 3 0
250 181 3 0
251 181 3 0
252 181 3 0
253 181 3 0
247 182 3 0
248 182 3 0
249 182 3 0
250 182 3 0
251 182 3 0
252 182 3 0
253 182 3 0
247 183 3 0
248 183 3 0
249 183 3 0
250 183 3 0
251 183 3 0
252 183 3 0
253 183 3 0
247 184 3 0
248 184 3 0
249 184 3 0
250 184 3 0
251 184 3 0
252 184 3 0
253 184 3 0
247 185 3 0
248 185 3 0
249 185 3 0
250 185 3 0
251 185 3 0
252 185 3 0
253 185 3 0
247 186 3 0
248 186 3 0
249 186 3 0
250 186 3 0
251 186 3 0
252 186 3 0
253 186 3 0
247 187 3 0
248 187 3 0
249 187 3 0
250 187 3 0
251 187 3 0
252 187 3 0
253 187 3 0
247 188 3 0
248 188 3 0
249 188 3 0
250 188 3 0
251 188 3 0
252 188 3 0
253 188 3 0
247 189 3 0
248 189 3 0
249 189 3 0
250 189 3 0
251 189 3 0
252 189 3 0
253 189 3 0
172 190 2 1
173 190 2 1
247 190 3 0
248 190 3 0
249 190 3 0
250 190 3 0
251 190 3 0
252 190 3 0
253 190 3 0
170 191 2 1
171 191 2 1
172 191 2 1
173 191 2 1
174 191 2 1
175 191 2 1
247 191 3 0
248 191 3 0
249 191 3 0
250 191 3 0
251 191 3 0
252 191 3 0
253 191 3 0
169 192 2 1
170 192 2 1
171 192 2 1
172 192 2 1
173 192 2 1
174 192 2 1
175 192 2 1
247 192 3 0
248 192 3 0
249 192 3 0
250 192 3 0
251 192 3 0
252 192 3 0
253 192 3 0
168 193 2 1
169 193 2 1
170 193 2 1
171 193 2 1
172 193 2 1
173 193 2 1
174 193 2 1
175 193 2 1
176 193 2 1
247 193 3 0
248 193 3 0
249 193 3 0
250 193 3 0
251 193 3 0
252 193 3 0
253 193 3 0
166 194 2 1
167 194 2 1
168 194 2 1
169 194 2 1
170 194 2 1
171 194 2 1
172 194 2 1
173 194 2 1
174 194 2 1
175 194 2 1
247 194 3 0
248 194 3 0
249 194 3 0
250 194 3 0
251 194 3 0
252 194 3 0
253 194 3 0
165 195 2 1
166 195 2 1
167 195 2 1
168 195 2 1
169 195 2 1
170 195 2 1
171 195 2 1
172 195 2 1
173 195 2 1
174 195 2 1
175 195 2 1
246 195 3 0
247 195 3 0
248 195 3 0
249 195 3 0
250 195 3 0
251 195 3 0
252 195 3 0
253 195 3 0
164 196 2 1
165 196 2 1
166 196 2 1
167 196 2 1
168 196 2 1
169 196 2 1
170 196 2 1
171 196 2 1
172 196 2 1
173 196 2 1
174 196 2 1
246 196 3 0
247 196 3 0
248 196 3 0
249 196 3 0
250 196 3 0
251 196 3 0
252 196 3 0
162 197 2 1
163 197 2 1
164 197 2 1
165 197 2 1
166 197 2 1
167 197 2 1
168 197 2 1
169 197 2 1
170 197 2 1
171 197 2 1
172 197 2 1
173 197 2 1
245 197 3 0
246 197 3 0
247 197 3 0
248 197 3 0
249 197 3 0
250 197 3 0
251 197 3 0
252 197 3 0
160 198 2 1
161 198 2 1
162 198 2 1
163 198 2 1
164 198 2 1
165 198 2 1
166 198 2 1
167 198 2 1
168 198 2 1
169 198 2 1
170 198 2 1
171 198 2 1
172 198 2 1
245 198 3 0
246 198 3 0
247 198 3 0
248 198 3 0
249 198 3 0
250 198 3 0
251 198 3 0
159 199 2 1
160 199 2 1
161 199 2 1
162 199 2 1
163 199 2 1
164 199 2 1
165 199 2 1
166 199 2 1
167 199 2 1
168 199 2 1
169 199 2 1
170 199 2 1
245 199 3 0
246 199 3 0
247 199 3 0
248 199 3 0
249 199 3 0
250 199 3 0
251 199 3 0
158 200 2 1
159 200 2 1
160 200 2 1
161 200 2 1
162 200 2 1
163 200 2 1
164 200 2 1
165 200 2 1
166 200 2 1
167 200 2 1
168 200 2 1
169 200 2 1
245 200 3 0
246 200 3 0
247 200 3 0
248 200 3 0
249 200 3 0
250 200 3 0
251 200 3 0
157 201 2 1
158 201 2 1
159 201 2 1
160 201 2 1
161 201 2 1
162 201 2 1
163 201 2 1
164 201 2 1
165 201 2 1
166 201 2 1
167 201 2 1
168 201 2 1
244 201 3 0
245 201 3 0
246 201 3 0
247 201 3 0
248 201 3 0
249 201 3 0
250 201 3 0
251 201 3 0
156 202 2 1
157 202 2 1
158 202 2 1
159 202 2 1
160 202 2 1
161 202 2 1
162 202 2 1
163 202 2 1
164 202 2 1
165 202 2 1
166 202 2 1
244 202 3 0
245 202 3 0
246 202 3 0
247 202 3 0
248 202 3 0
249 202 3 0
250 202 3 0
154 203 2 1
155 203 2 1
156 203 2 1
157 203 2 1
158 203 2 1
159 203 2 1
160 203 2 1
161 203 2 1
162 203 2 1
163 203 2 1
164 203 2 1
243 203 3 0
244 203 3 0
245 203 3 0
246 203 3 0
247 203 3 0
248 203 3 0
249 203 3 0
250 203 3 0
152 204 2 1
153 204 2 1
154 204 2 1
155 204 2 1
156 204 2 1
157 204 2 1
158 204 2 1
159 204 2 1
160 204 2 1
161 204 2 1
162 204 2 1
163 204 2 1
243 204 3 0
244 204 3 0
